,count,unique,top,freq,mean,std,min,25%,50%,75%,max
participant_id,91,13,P016,7,,,,,,,
date,91,7,2025-09-28,13,,,,,,,
kss_morning,91.0,,,,4.56043956043956,2.247016744282127,1.0,3.0,4.0,6.0,9.0
kss_afternoon,91.0,,,,4.0,1.837873166945363,1.0,3.0,4.0,5.0,9.0
kss_evening,89.0,,,,4.651685393258427,1.7261433865142684,2.0,4.0,5.0,6.0,8.0
sleep_onset_time,91,30,01:00,17,,,,,,,
wake_time,91,34,09:00,13,,,,,,,
outdoor_light,91.0,,,,0.9120879120879121,0.2847358092591816,0.0,1.0,1.0,1.0,1.0
reduce_light,91.0,,,,0.9340659340659341,0.2495417044725436,0.0,1.0,1.0,1.0,1.0
no_device,91.0,,,,0.7692307692307693,0.4236592728681617,0.0,1.0,1.0,1.0,1.0
group,91,1,B,91,,,,,,,
compliance,91.0,,,,0.8723076923076925,0.2093751387293838,0.33,0.67,1.0,1.0,1.0
